Recipe	Ingredient	Specie	Quantity	Dry_matter	Energy	Water	Glucides	Lipids	Proteins	Richness	Phylogenetic_diversity	Weighted_phylogenetic_diversity	Shannon	Simpson	URL
Tourte de Noël végétarienne de Coralie	Huile d'olive	Olea europaea	30 g	29.97 g	3700.0	0.1	0	99.9	 0.5	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Madère	NA	12 cl	NA	NA	NA	3.6	2.2	0.6	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Champignon	Dikarya	275 g	16.77 g	118.0	93.9	3.15	0.36	2.62	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Coriandre	Coriandrum sativum	2 g	1.82 g	1430.0	8.88	13	17.8	12.4	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Cannelle	Cinnamomum verum	2 g	1.79 g	1000.0	10.6	27.5	1.22	3.87	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Thym	Thymus vulgaris	2 g	0.7 g	446.0	65.1	10.5	1.68	5.56	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Miel	Apis	30 g	24.72 g	NA	17.6	81.7	0	0.56	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Pâte feuilletée	Triticum	400 g	282.0 g	1570.0	29.5	41.4	20.4	5.41	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Marrons	Castanea	400 g	149.2 g	NA	62.7	28.8	1.4	1.96	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Épinards	Spinacia oleracea	250 g	21.0 g	NA	91.6	2.25	0.5	2.62	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Échalote	Allium ascalonicum	80 g	14.16 g	269.0	82.3	12.2	 0.5	1.81	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Beurre	Bos taurus	20 g	16.92 g	3100.0	15.4	0.9	82.9	0.7	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Oeuf	Gallus gallus	80 g	18.96 g	584.0	76.3	0.27	9.83	12.7	15	409.43	25.68	-0.41	10.55	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Paëlla végétarienne	Ail	Allium sativum	80 g	25.76 g	470.0	67.8	18.6	 0.5	5.31	10	197.09	17.06	0.98	4.36	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Tomates concassées	Solanum lycopersicum	200 g	11.8 g	81.1	94.1	2.49	0.26	0.86	10	197.09	17.06	0.98	4.36	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Noix de cajou	Anacardium occidentale	150 g	147.74 g	NA	1.51	26.7	49.5	15.2	10	197.09	17.06	0.98	4.36	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Safran	Crocus sativus	1 g	0.88 g	1490.0	11.9	61.5	5.85	11.4	10	197.09	17.06	0.98	4.36	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Poivre	Piper nigrum	1 g	0.91 g	1380.0	9	39.5	7.5	13.3	10	197.09	17.06	0.98	4.36	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Sel	NA	1 g	1.0 g	0.0	0.027	0	0	0	10	197.09	17.06	0.98	4.36	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Riz rond	Oryza	350 g	138.6 g	668.0	60.4	32.6	1	3.21	10	197.09	17.06	0.98	4.36	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Oignon	Allium cepa	240 g	24.96 g	NA	89.6	6.25	0.62	1.1	10	197.09	17.06	0.98	4.36	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Petits pois	Pisum sativum	150 g	31.2 g	NA	79.2	7	0.55	5.84	10	197.09	17.06	0.98	4.36	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Haricots verts	Phaseolus vulgaris	80 g	7.68 g	NA	90.4	4.14	0.21	1.85	10	197.09	17.06	0.98	4.36	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Poivron rouge	Capsicum annuum	100 g	9.8 g	153.0	90.2	5.98	 0.5	1.06	10	197.09	17.06	0.98	4.36	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Poivron vert	Capsicum annuum	100 g	7.0 g	109.0	93	3.43	 0.5	0.81	10	197.09	17.06	0.98	4.36	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Poivre de cayenne	Piper nigrum	1 g	0.92 g	1560.0	8.05	29.4	17.3	12	10	197.09	17.06	0.98	4.36	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Ragoût végétarien aux légumes	Ail	Allium sativum	160 g	51.52 g	470.0	67.8	18.6	 0.5	5.31	11	246.0	31.08	1.35	3.24	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	Champignon de paris	Dikarya	200 g	12.2 g	118.0	93.9	3.15	0.36	2.62	11	246.0	31.08	1.35	3.24	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	Olives	Olea europaea	200 g	48.4 g	637.0	75.8	NA	15.7	1.31	11	246.0	31.08	1.35	3.24	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	Maïs	Zea mays	100 g	24.6 g	447.0	75.4	18.4	1.68	2.82	11	246.0	31.08	1.35	3.24	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	Bouillon	NA	NA 	NA	1000.0	2.6	19.7	13.3	10.2	11	246.0	31.08	1.35	3.24	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	Eau	NA	25 cl	31.0 g	136.0	87.6	4.9	0.25	1.49	11	246.0	31.08	1.35	3.24	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	Thym	Thymus vulgaris	3 g	1.05 g	446.0	65.1	10.5	1.68	5.56	11	246.0	31.08	1.35	3.24	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	Persil	Petroselinum crispum	3 g	0.44 g	180.0	85.5	3.48	0.63	3.71	11	246.0	31.08	1.35	3.24	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	Poivre	Piper nigrum	1 g	0.91 g	1380.0	9	39.5	7.5	13.3	11	246.0	31.08	1.35	3.24	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	Basilic	Ocimum basilicum	3 g	0.25 g	145.0	91.7	2.55	0.47	3.35	11	246.0	31.08	1.35	3.24	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	Herbes de provence	NA	3 g	2.79 g	1170.0	7.1	23	7.2	11.5	11	246.0	31.08	1.35	3.24	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	Oignon	Allium cepa	240 g	24.96 g	NA	89.6	6.25	0.62	1.1	11	246.0	31.08	1.35	3.24	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	Citrouille	Cucurbita maxima	250 g	21.0 g	NA	91.6	6	0.1	1	11	246.0	31.08	1.35	3.24	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	Crème liquide	Bos taurus	50 cl	160.0 g	1110.0	68	2.87	26	2.88	11	246.0	31.08	1.35	3.24	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	Tabasco	NA	5 cl	NA	NA	NA	NA	NA	NA	6	144.8	28.75	0.82	1.83	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	Huile d'olive	Olea europaea	1 dl	99.9 g	3700.0	0.1	0	99.9	 0.5	6	144.8	28.75	0.82	1.83	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	Sel	NA	1 g	1.0 g	0.0	0.027	0	0	0	6	144.8	28.75	0.82	1.83	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	Poivre	Piper nigrum	1 g	0.91 g	1380.0	9	39.5	7.5	13.3	6	144.8	28.75	0.82	1.83	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	Betterave	Beta vulgaris	300 g	39.9 g	NA	86.7	9.1	0.24	1.74	6	144.8	28.75	0.82	1.83	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	Fromage de chèvre	Ovis aries	150 g	81.75 g	1460.0	45.5	NA	29.8	21.6	6	144.8	28.75	0.82	1.83	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
