Recipe	Ingredient	Specie	Quantity	Dry_matter	Energy	Water	Glucides	Lipids	Proteins	Richness	Phylogenetic_diversity	Weighted_phylogenetic_diversity	Shannon	Simpson	URL
Cookies maison	Sel	NA	1 g	1.0 g	0.0	0.027	0	0	0	4	164.0	40.41	0.2	3.26	https://www.marmiton.org/recettes/recette_cookies-maison_86989.aspx
Cookies maison	Levure chimique	NA	5 g	4.73 g	NA	5.4	33.2	0.2	1.96	4	164.0	40.41	0.2	3.26	https://www.marmiton.org/recettes/recette_cookies-maison_86989.aspx
Cookies maison	Beurre tendre	Bos taurus	85 g	71.74 g	3100.0	15.6	0.5	83.4	0.7	4	164.0	40.41	0.2	3.26	https://www.marmiton.org/recettes/recette_cookies-maison_86989.aspx
Cookies maison	Oeuf	Gallus gallus	80 g	18.96 g	584.0	76.3	0.27	9.83	12.7	4	164.0	40.41	0.2	3.26	https://www.marmiton.org/recettes/recette_cookies-maison_86989.aspx
Fondant au chocolat	Farine	Triticum aestivum	60 g	52.5 g	1480.0	12.5	73.7	1	9.03	3	128.0	41.54	0.53	1.89	https://www.marmiton.org/recettes/recette_fondant-au-chocolat_15025.aspx
Fondant au chocolat	Beurre doux	Bos taurus	100 g	84.4 g	3100.0	15.6	0.5	83.4	0.7	3	128.0	41.54	0.53	1.89	https://www.marmiton.org/recettes/recette_fondant-au-chocolat_15025.aspx
Fondant au chocolat	Oeuf	Gallus gallus	400 g	94.8 g	584.0	76.3	0.27	9.83	12.7	3	128.0	41.54	0.53	1.89	https://www.marmiton.org/recettes/recette_fondant-au-chocolat_15025.aspx
Mousse au chocolat facile	Oeuf	Gallus gallus	240 g	56.88 g	584.0	76.3	0.27	9.83	12.7	1	1	1	0.32	0.32	https://www.marmiton.org/recettes/recette_mousse-au-chocolat-facile_13585.aspx
Le crumble aux pommes du Chat qui Tousse	Farine de blé	Triticum turgidum	150 g	131.25 g	1480.0	12.5	73.7	1	9.03	5	143.0	33.68	-0.07	2.84	https://www.marmiton.org/recettes/recette_le-crumble-aux-pommes-du-chat-qui-tousse_10534.aspx
Le crumble aux pommes du Chat qui Tousse	Beurre doux	Bos taurus	125 g	105.5 g	3100.0	15.6	0.5	83.4	0.7	5	143.0	33.68	-0.07	2.84	https://www.marmiton.org/recettes/recette_le-crumble-aux-pommes-du-chat-qui-tousse_10534.aspx
Le crumble aux pommes du Chat qui Tousse	Cannelle	Cinnamomum verum	5 g	4.47 g	1000.0	10.6	27.5	1.22	3.87	5	143.0	33.68	-0.07	2.84	https://www.marmiton.org/recettes/recette_le-crumble-aux-pommes-du-chat-qui-tousse_10534.aspx
Le crumble aux pommes du Chat qui Tousse	Sucre vanillé	Saccharum	5 g	4.99 g	NA	0.13	99	0.33	0.1	5	143.0	33.68	-0.07	2.84	https://www.marmiton.org/recettes/recette_le-crumble-aux-pommes-du-chat-qui-tousse_10534.aspx
Le crumble aux pommes du Chat qui Tousse	Citron	Citrus limon	10 g	1.37 g	170.0	86.3	3.14	 0.3	1.13	5	143.0	33.68	-0.07	2.84	https://www.marmiton.org/recettes/recette_le-crumble-aux-pommes-du-chat-qui-tousse_10534.aspx
Tarte aux pommes	Sucre vanillé	Saccharum	5 g	4.99 g	NA	0.13	99	0.33	0.1	2	94.0	47.0	0.5	0.07	https://www.marmiton.org/recettes/recette_tarte-aux-pommes_18588.aspx
Tarte aux pommes	Beurre	Bos taurus	30 g	25.38 g	3100.0	15.4	0.9	82.9	0.7	2	94.0	47.0	0.5	0.07	https://www.marmiton.org/recettes/recette_tarte-aux-pommes_18588.aspx
Galette des rois à la frangipane	Sucre fin	Saccharum	100 g	99.83 g	NA	0.17	99.8	0	0	4	196.0	40.31	0.95	1.46	https://www.marmiton.org/recettes/recette_galette-des-rois-a-la-frangipane_20147.aspx
Galette des rois à la frangipane	Oeuf	Gallus gallus	160 g	37.92 g	584.0	76.3	0.27	9.83	12.7	4	196.0	40.31	0.95	1.46	https://www.marmiton.org/recettes/recette_galette-des-rois-a-la-frangipane_20147.aspx
Galette des rois à la frangipane	Beurre tendre	Bos taurus	75 g	63.3 g	3100.0	15.6	0.5	83.4	0.7	4	196.0	40.31	0.95	1.46	https://www.marmiton.org/recettes/recette_galette-des-rois-a-la-frangipane_20147.aspx
Galette des rois à la frangipane	Jaune d'oeuf	Gallus gallus	35 g	17.39 g	1410.0	50.3	1.31	30.1	16	4	196.0	40.31	0.95	1.46	https://www.marmiton.org/recettes/recette_galette-des-rois-a-la-frangipane_20147.aspx
Galette des rois à la frangipane	Fèves	Vicia faba	5 g	1.1 g	350.0	77.9	9.35	0.8	8.06	4	196.0	40.31	0.95	1.46	https://www.marmiton.org/recettes/recette_galette-des-rois-a-la-frangipane_20147.aspx
Véritable moelleux au chocolat	Sucre fin	Saccharum	100 g	99.83 g	NA	0.17	99.8	0	0	4	196.0	40.31	0.95	1.46	https://www.marmiton.org/recettes/recette_veritable-moelleux-au-chocolat_12825.aspx
Véritable moelleux au chocolat	Oeuf	Gallus gallus	160 g	37.92 g	584.0	76.3	0.27	9.83	12.7	4	196.0	40.31	0.95	1.46	https://www.marmiton.org/recettes/recette_veritable-moelleux-au-chocolat_12825.aspx
Véritable moelleux au chocolat	Beurre tendre	Bos taurus	75 g	63.3 g	3100.0	15.6	0.5	83.4	0.7	4	196.0	40.31	0.95	1.46	https://www.marmiton.org/recettes/recette_veritable-moelleux-au-chocolat_12825.aspx
Véritable moelleux au chocolat	Jaune d'oeuf	Gallus gallus	35 g	17.39 g	1410.0	50.3	1.31	30.1	16	4	196.0	40.31	0.95	1.46	https://www.marmiton.org/recettes/recette_veritable-moelleux-au-chocolat_12825.aspx
