recipe_name	ingredients	quantity	unit	url
Ragoût végétarien aux légumes	bouillon	1	l	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	maïs	100	g	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	olives	200	g	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	champignon de Paris	200	g	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	ail	80	g	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	carotte	500	g	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	pomme de terre	260	g	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	oignon	280	g	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	citrouille	400	g	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	crème liquide	50	cl	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	poivre	1	g	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	sel	1	g	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	huile d'olive	10	cl	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	tabasco	1	cl	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	persil	15	g	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	câpres	15	g	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	betterave	300	g	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	fromage de chèvre	50	g	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	mayonnaise	75	g	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	échalote	25	g	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	vinaigre de xérès	1	cuillère à soupe	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Burger végétarien aux lentilles	poivre	1	g	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	sel	1	g	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	ketchup	2	cuillère à soupe	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	concentré de tomates	1	cuillère à soupe	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	cumin	5	g	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	huile d'olive	2	cuillère à soupe	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	ail	20	g	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	carotte	125	g	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	lentilles vertes	250	g	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	oignon	140	g	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	oeuf	60	g	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	chapelure	60	g	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	salade	20	g	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	comté	60	g	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	pain pour hamburger	400	g	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	mayonnaise	2	cuillère à soupe	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	origan			https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	persil			https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	herbes de Provence			https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	sel			https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	poivre			https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	huile d'olive			https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	poivron	1		https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	courgette	350	g	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	tomate	500	g	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	brick	4	feuille	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	oignon	140	g	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
