Recette	Ingrédient	Espèce	Quantité 	Matière sèche (g)	Eau (%)	Glucides (%)	Lipides (%)	Protéines (%)	Diversité phylogénétique	Diversité phylogénétique pondérée	Indice de Shannon	Indice de Simpson	URL de la recette	
Ragoût végétarien aux légumes	eau	-	20 cl	24.8 g	87,6	4,9	0,25	1,49	227.82	18.63	2.22	2.1	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	bouillon	-	10 g	9.74 g	2,6	19,7	13,3	10,2	227.82	18.63	2.22	2.1	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	maïs	Zea mays	100 g	24.6 g	75,4	18,4	1,68	2,82	227.82	18.63	2.22	2.1	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	olives	Olea europaea	200 g	48.4 g	75,8	traces	15,7	1,31	227.82	18.63	2.22	2.1	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	champignon de Paris	Agaricus bisporus	200 g	12.2 g	93,9	3,15	0,36	2,62	227.82	18.63	2.22	2.1	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	ail	Allium sativum	16 g	5.15 g	67,8	18,6	< 0,5	5,31	227.82	18.63	2.22	2.1	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	carotte	Daucus carota	500 g	59.5 g	88,1	7,59	< 0,5	0,63	227.82	18.63	2.22	2.1	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	pomme de terre	Solanum tuberosum	260 g	49.14 g	81,1	-	0,3	1,44	227.82	18.63	2.22	2.1	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	oignon	Allium cepa	280 g	29.12 g	89,6	6,25	0,62	1,1	227.82	18.63	2.22	2.1	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	citrouille	Cucurbita maxima	1250 g	105.0 g	91,6	6	0,1	1	227.82	18.63	2.22	2.1	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	crème liquide	-	50 cl	160.0 g	68	2,87	26	2,88	227.82	18.63	2.22	2.1	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	poivre	Piper nigrum	1 g	0.91 g	9	39,5	7,5	13,3	78.0	14.82	0.63	1.16	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	sel	-	1 g	1.0 g	0,027	0	0	0	78.0	14.82	0.63	1.16	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	huile d'olive	Olea europaea	10 cl	99.9 g	0,1	0	99,9	< 0,5	78.0	14.82	0.63	1.16	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	tabasco	-	1 cl	-	-	-	-	-	78.0	14.82	0.63	1.16	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	persil	Petroselinum crispum	15 g	2.18 g	85,5	3,48	0,63	3,71	78.0	14.82	0.63	1.16	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	câpres	-	15 g	2.41 g	83,9	3,5	0,86	2,18	78.0	14.82	0.63	1.16	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	betterave	Beta vulgaris	300 g	39.9 g	86,7	9,1	0,24	1,74	78.0	14.82	0.63	1.16	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	fromage de chèvre	-	30 g	-	-	-	-	-	78.0	14.82	0.63	1.16	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	mayonnaise	-	75 g	61.42 g	18,1	2,62	75,2	1,36	78.0	14.82	0.63	1.16	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	échalote	Allium ascalonicum	25 g	4.43 g	82,3	12,2	< 0,5	1,81	78.0	14.82	0.63	1.16	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	vinaigre de xérès	-	1 cuillères à soupe	1.28 g	91,5	traces	0	< 0,5	78.0	14.82	0.63	1.16	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Burger végétarien aux lentilles	poivre	Piper nigrum	1 g	0.91 g	9	39,5	7,5	13,3	242.0	25.43	1.7	0.93	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	sel	-	1 g	1.0 g	0,027	0	0	0	242.0	25.43	1.7	0.93	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	ketchup	-	2 cuillères à soupe	8.67 g	71,1	21,4	0,19	1,27	242.0	25.43	1.7	0.93	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	concentré de tomates	Solanum lycopersicum	1 cuillères à soupe	4.2 g	72	17,1	0,53	4,4	242.0	25.43	1.7	0.93	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	cumin	Cuminum cyminum	1 g	0.92 g	8,06	33,7	22,3	17,8	242.0	25.43	1.7	0.93	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	huile d'olive	Olea europaea	2 cuillères à soupe	29.97 g	0,1	0	99,9	< 0,5	242.0	25.43	1.7	0.93	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	ail	Allium sativum	4 g	1.29 g	67,8	18,6	< 0,5	5,31	242.0	25.43	1.7	0.93	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	carotte	Daucus carota	125 g	14.88 g	88,1	7,59	< 0,5	0,63	242.0	25.43	1.7	0.93	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	lentilles vertes	Lens culinaris	250 g	88.0 g	64,8	16,2	0,58	10,1	242.0	25.43	1.7	0.93	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	oignon	Allium cepa	140 g	14.56 g	89,6	6,25	0,62	1,1	242.0	25.43	1.7	0.93	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	oeuf	Gallus gallus	60 g	14.22 g	76,3	0,27	9,83	12,7	242.0	25.43	1.7	0.93	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	chapelure	-	60 g	55.63 g	7,29	70	3,77	11,6	242.0	25.43	1.7	0.93	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	salade	Lactuca sativa	80 g	3.12 g	96,1	1,5	0,1	1,01	242.0	25.43	1.7	0.93	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	comté	-	60 g	40.08 g	33,2	traces	34,6	27,2	242.0	25.43	1.7	0.93	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	pain pour hamburger	-	220 g	152.02 g	30,9	49,7	5,35	9,07	242.0	25.43	1.7	0.93	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	mayonnaise	-	2 cuillères à soupe	24.57 g	18,1	2,62	75,2	1,36	242.0	25.43	1.7	0.93	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	origan	Origanum vulgare	 	-	9,93	26,4	4,28	9	122.86	NA	NA	NA	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	persil	Petroselinum crispum	 	-	85,5	3,48	0,63	3,71	122.86	NA	NA	NA	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	herbes de Provence	-	 	-	7,1	23	7,2	11,5	122.86	NA	NA	NA	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	sel	-	 	-	0,027	0	0	0	122.86	NA	NA	NA	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	poivre	Piper nigrum	 	-	9	39,5	7,5	13,3	122.86	NA	NA	NA	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	huile d'olive	Olea europaea	 	-	0,1	0	99,9	< 0,5	122.86	NA	NA	NA	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	poivron	Capsicum annuum	1 	-	92,1	4,55	0,27	0,8	122.86	NA	NA	NA	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	courgette	Cucurbita pepo	350 g	18.55 g	94,7	1,8	0,26	1,23	122.86	NA	NA	NA	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
Tarte provençale fine, light, végétarienne, économique, rapide	tomate	Solanum lycopersicum	500 g	59.0 g	88,2	8,53	0,2	2,05	122.86	NA	NA	NA	https://www.marmiton.org/recettes/recette_tarte-provencale-fine-light-vegetarienne-economique-rapide_38642.aspx
